;meta[language=de]
; id      |key(hex)|key(str)| text
2110992000|4d5f8b0c||Mods
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Vitalitätsmodifikator von Gegnern
2110992003|a570c302||Schadensmodifikator von Gegnern
2110992004|be5d891f||Skalierung von Gegnern
2110992005|c33062be||Keine
2110992006|cffa3a49||Hochskaliert
2110992007|a2c796ff||Angeglichen
2110992008|645abb61||Zusätzlicher Vitalitätsmodifikator für Bosse
2110992009|e970d86e||Zusätzlicher Schadensmodifikator für Bosse
2110992013|cdb77880||Frostwiderstand
2110992014|99a2fd83||Reduktion des Schadenswiderstands von Gegnern
2110992015|c4ea0ecf||Trankdauer
2110992016|c332a7b0||Leicht Hochskaliert
2110992017|1662935c||Schaden pro Treffer (Silber)
2110992018|4f1d703c||Schaden pro Treffer (Stahl)
2110992019|f38f5b36||Feuersturm Schaden pro Sekunde
2110992020|6a994712||Magische Falle
2110992021|cc57bcc3||Schaden der Magischen Falle
2110992022|60b53abe||Dauer des Magischen Geschützes
2110992023|8594f9d5||Aufladungen des Magischen Geschützes 
2110992024|1e6cbb19||Schaden des Magischen Geschützes
2110992025|ee530dcc||Zurückgeworfener Schaden
2110992026|e379a123||Schadensabsorption des aktiven Schilds
2110992027|27282d9d||Axii Chance
2110992028|8566fddf||Angriffsstärke des schnellen Angriffs
2110992029|7a3d2c04||Angriffsstärke des starken Angriffs
2110992030|a3e34c39||Schadensabsorption
2110992034|40aed692||Chance auf kritische Treffer gegen Bestien
2110992035|c8957121||Chance auf kritische Treffer gegen Verfluchte
2110992036|79a23d6e||Chance auf kritische Treffer gegen Drakoniden
2110992037|d33fe160||Chance auf kritische Treffer gegen Menschen
2110992038|f261a80b||Chance auf kritische Treffer gegen Hybriden
2110992039|97466e95||Chance auf kritische Treffer gegen Insektoiden
2110992040|4bfdf9ea||Chance auf kritische Treffer gegen Konstrukte
2110992041|016d02ed||Chance auf kritische Treffer gegen Nekrophagen
2110992042|9c73a4a6||Chance auf kritische Treffer gegen Relikte
2110992043|c3702fb9||Chance auf kritische Treffer gegen Geister
2110992044|cd868a1a||Chance auf kritische Treffer gegen Ogroiden
2110992045|42229941||Chance auf kritische Treffer gegen Vampire
2110992046|4fa6c42d||Stärke von kritischen Treffern gegen Bestien
2110992047|df4cf77c||Stärke von kritischen Treffern gegen Verfluchte
2110992048|f7d09609||Stärke von kritischen Treffern gegen Drakoniden
2110992049|810bfc7b||Stärke von kritischen Treffern gegen Menschen
2110992050|6b0ad6e6||Stärke von kritischen Treffern gegen Hybriden
2110992051|6adf0df0||Stärke von kritischen Treffern gegen Insektoiden
2110992052|0cf40585||Stärke von kritischen Treffern gegen Konstrukte
2110992053|69eb0048||Stärke von kritischen Treffern gegen Nekrophagen
2110992054|2e15b341||Stärke von kritischen Treffern gegen Relikte
2110992055|17546414||Stärke von kritischen Treffern gegen Geister
